Category              	Name                                        	Used?	Required schematic elements	diff.dg 	diff.rs	diff.ct	cfom.wp	tap.dg  	dnwell:dg	pwbm.dg 	pwdem:dg	hvtr.dg	nwell.dg	hvtp:dg 	lvtn:dg 	pwell.rs	pwell.ct	ncm.dg [#f2]_	tunm:dg	hvi:dg	rpm:dg	poly.dg	poly.rs	poly.ct	poly:ml	ldntm:dg	npc:dg	nsdm.dg 	psdm.dg	licon.dg	li1.dg	li.rs	li.ct	capm:dg	capm_2t.dg	metX.dg	metX.fe	met1:dg	met2:dg	met3:dg  	met4.dg  	met5.dg  	rdl.dg   	inductor:dg	capacitor.dg	areaid.le	areaid.en	pnp.dg	npn.dg	areaid.st	areaid.de	areaid.re	areaid.po	areaid:ce	areaid.ed	areaid.ext	UHVI     	areaid.low_vt	Drawn Route / Comments       	Layout Model
32 A CMOS             	High Vt Varactor                            	X    	capbn_b                    	-       	-	-	+	D       	+        	-       	-       	-	D       	D       	C       	+       	+       	C            	-	-	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	xcnwvc2
32 A CMOS             	HV varactor (floating gate)                 	X    	capbn_b                    	-       	-	-	+	D       	+        	-       	-       	-	D       	-       	D       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	-       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	xchvnwc
SONOS (& SONOS Latch) 	SONOS fet [#f11]_                           	X    	nfet                       	D       	-	-	+	-       	D        	-       	-       	-	-       	-       	D       	+       	+       	-            	D	-	-	D	-	-	+	D       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	sonos_p/e
SONOS (& SONOS Latch) 	SONOS fet [#f11]_                           	     	nfet                       	D       	-	-	+	-       	D        	-       	-       	-	-       	-       	D       	+       	+       	-            	D	-	-	D	-	-	+	D       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	sonos_de/dp
SONOS (& SONOS Latch) 	NV SONOS fet [#f11]_                        	     	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	D       	+       	+       	-            	D	-	-	D	-	-	D	D       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	nvssonos_p/e
110A CMOS             	HV nmos 5/10.5V                             	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	nhv
110A CMOS             	HV nmos 5/10.5V                             	     	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	D	-	D	-	-	D	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	nhvcore
110A CMOS             	HV pmos 5/10.5V                             	X    	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	-       	-       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	+           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	phv
110A CMOS             	HV pmos 5/10.5V                             	     	pfet                       	D       	-	-	+	-       	+        	-       	-       	-	D       	-       	-       	+       	+       	-            	-	D	-	D	-	-	D	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	-        	+        	          	-        	-            	                             	phvcore
110A CMOS             	Native nmos 5V                              	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	D       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	+           	-        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	nhvnative
110A CMOS             	Native nmos 3V                              	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	D       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	D        	-        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	ntvnative
110A CMOS             	Flash npass [#f5]_                          	X    	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	D	-	D	-	-	D	D       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	fnpass
110A CMOS             	Flash npass NV                              	     	nfet                       	D       	-	-	+	-       	+        	-       	-       	-	-       	-       	-       	+       	+       	-            	-	D	-	D	-	-	D	D       	-	D [#f3]_	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	-        	+        	-        	D        	-        	          	-        	-            	                             	nvsrnpass
110A CMOS             	VHV nmos 5/16V DE                           	X    	nfetextd                   	D [#f7]_	-	-	+	D [#f6]_	-        	-       	-       	-	D       	-       	-       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	D        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	nvhv
110A CMOS             	VHV pmos 5/16V DE                           	X    	pfetextd                   	D [#f7]_	-	-	+	D [#f6]_	D        	-       	-       	-	D [#f3]_	-       	-       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	D        	-	-	+        	-        	+        	-        	-        	-        	          	-        	-            	                             	pvhv
110A CMOS             	UHV nmos 5/20V DE                           	     	nfetextd                   	D [#f7]_	-	-	+	D [#f6]_	D [#f3]_ 	D [#f3]_	-       	-	D [#f3]_	-       	D [#f3]_	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	         	         	         	+          	-           	-        	-        	-	-	         	-        	+        	-        	-        	-        	D         	D        	D            	                             	n20vhv1
110A CMOS             	UHV iso nmos 5/20V DE                       	     	nfetextdiso                	D [#f7]_	-	-	+	D [#f6]_	D [#f3]_ 	D [#f3]_	-       	-	D [#f3]_	-       	D [#f3]_	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	         	         	         	+          	-           	-        	-        	-	-	         	-        	+        	-        	-        	-        	D         	D        	D            	                             	n20vhviso1
110A CMOS             	UHV Native nmos 5/20V DE                    	     	nfetextd                   	D [#f7]_	-	-	+	D [#f6]_	D [#f3]_ 	D [#f3]_	-       	-	D [#f3]_	-       	D       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	         	         	         	+          	-           	-        	-        	-	-	         	-        	+        	-        	-        	-        	D         	D        	D            	                             	n20nativevhv1
110A CMOS             	UHV Zvt nmos 5/20V DE                       	     	nfetextd                   	D [#f7]_	-	-	+	D [#f6]_	D [#f3]_ 	D       	-       	-	D [#f3]_	-       	D       	+       	+       	-            	-	D	-	D	-	-	+	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	         	         	         	+          	-           	-        	-        	-	-	         	-        	+        	-        	-        	-        	D         	D        	D            	                             	n20zvtvhv1
110A CMOS             	UHV pmos 5/20V DE                           	     	pfetextd                   	D [#f7]_	-	-	+	D [#f6]_	D        	D [#f3]_	D [#f3]_	-	D [#f3]_	-       	D [#f3]_	+       	+       	-            	-	D	-	D	-	-	+	-       	-	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	         	-	-	         	-        	+        	-        	-        	-        	D         	D        	D            	                             	p20vhv1
CAPACITOR             	MiM (3 Terminal)                            	     	cmim3c                     	-       	+	+	+	-       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	-	+	+	+	+       	+	+       	+	+       	-	+	+	D	-         	+	-	-	D	+        	+        	+        	+        	-          	-           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmimc
CAPACITOR             	MiM (2 Terminal)                            	     	cmimc                      	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	D	D         	+	-	+	D	+        	+        	+        	+        	-          	-           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmimc2
CAPACITOR             	VPP [#f9]_                                  	X    	                           	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	-       	D	+	+	-	+         	+	-	D	D	+        	+        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp xcmvpp_2
CAPACITOR             	VPP over NHVNATIVE                          	X    	cap_int3                   	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	+        	+        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp2_nhvnative10x4
CAPACITOR             	VPP over PHV                                	X    	cap_int3                   	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	+        	+        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp2_phv5x4
CAPACITOR             	VPP and NHVNATIVE                           	X    	vppcap                     	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	D        	+        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvppx4_2xnhvnative10x4
CAPACITOR             	4-Terminal VPP (with Met3 shield) [#f12]_   	X    	vppcap                     	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	D        	+        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp1p8x1p8_m3shield xcmvpp8p6x7p9_m3shield xcmvpp4p4x4p6_m3shield xcmvpp11p5x11p7_m3shield
CAPACITOR             	4-terminal VPP (with M5 shield) [#f12]_     	X    	vppcap                     	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	D        	D        	D        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp11p5x11p7_m5shield xcmvpp11p5x11p7_polym5shield xcmvpp11p5x11p7_lim5shield xcmvpp8p6x7p9_m3_lim5shield xcmvpp11p5x11p7_m3_lim5shield xcmvpp4p4x4p6_m3_lim5shield xcmvpp11p5x11p7_m1m4m5shield xcmvpp11p5x11p7_polym50p4shield
CAPACITOR             	4-terminal VPP (with M4 shield) [#f12]_     	X    	vppcap                     	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	D        	D        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp11p5x11p7_m4shield xcmvpp11p5x11p7_polym4shield xcmvpp6p8x6p1_polym4shield xcmvpp6p8x6p1_lim4shield
CAPACITOR             	3-Terminal VPP [#f12]_                      	X    	cap_int3                   	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	+        	+        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp1p8x1p8 xcmvpp3 xcmvpp4 xcmvpp5 xcmvpp4p4x4p6_m1m2 xcmvpp11p5x11p7_m1m2
CAPACITOR             	3-Terminal VPP [#f12]_ (for S8Q/S8P ONLY)   	X    	cap_int3                   	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	D        	+        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp8p6x7p9_m3_lishield xcmvpp4p4x4p6_m3_lishield xcmvpp11p5x11p7_m3_lishield
CAPACITOR             	3-Terminal VPP [#f12]_ (for S8P ONLY)       	X    	cap_int3                   	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	D	+	+	-	+         	+	-	D	D	D        	D        	+        	+        	+          	D           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xcmvpp11p5xx11p7_m1m4 xcmvpp_hd5_*
INDUCTOR              	Inductor                                    	     	inductor                   	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	D        	+        	+        	+        	D          	-           	-        	-        	+	+	+        	+        	+        	-        	-        	+        	          	-        	-            	                             	xind
INDUCTOR              	Cu Inductor                                 	X    	ind4                       	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	D	+	D [#f16]_	D [#f16]_	D        	D [#f16]_	D          	-           	-        	-        	-	-	-        	-        	-        	-        	-        	-        	          	-        	-            	                             	*xind4*
INDUCTOR              	Balun Inductor [#f15]_                      	X    	                           	+       	+	+	+	+       	+        	-       	+       	-	+       	+       	+       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	+	+       	+	+	+	+	+         	+	+	+	+	+        	D        	D        	D        	D          	-           	-        	-        	-	-	-        	-        	-        	-        	-        	-        	          	-        	-            	                             	*balun*
DIODE                 	nDiode                                      	X    	lvsdiode                   	D       	-	-	+	-       	+        	-       	+       	-	-       	-       	-       	+       	+       	-            	+	-	+	-	-	-	+	+       	+	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	+        	+        	          	-        	-            	                             	ndiode
DIODE                 	HV nDiode                                   	X    	lvsdiode                   	D       	-	-	+	-       	+        	-       	+       	-	-       	-       	-       	+       	+       	-            	+	D	+	-	-	-	+	+       	+	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	-        	+        	          	-        	-            	                             	ndiode_h
DIODE                 	RF ESD HV nDiode [#f13]_                    	X    	lvsdiode                   	D       	-	-	+	-       	-        	-       	+       	-	-       	-       	-       	+       	+       	-            	+	D	+	-	-	-	+	+       	+	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	-        	D        	          	-        	-            	                             	xesd_ndiode_h_X (where X=100 200 300)
DIODE                 	RF ESD HV Deep Nwell nDiode [#f13]_         	X    	lvsdiode                   	D       	-	-	+	-       	D        	-       	+       	-	-       	-       	-       	+       	+       	-            	+	D	+	-	-	-	+	+       	+	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	-        	D        	          	-        	-            	                             	xesd_ndiode_h_dnwl_X (where X=100 200 300)
DIODE                 	pDiode                                      	X    	lvsdiode                   	D       	-	-	+	-       	+        	-       	+       	-	D       	-       	-       	+       	+       	C            	+	-	+	-	-	-	+	+       	+	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	         	+        	          	-        	-            	                             	pdiode
DIODE                 	pDiode NV                                   	     	lvsdiode                   	D       	-	-	+	-       	+        	-       	+       	-	D       	-       	-       	+       	+       	C            	+	-	+	-	-	-	+	+       	+	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	         	+        	          	-        	-            	                             	pdiode
DIODE                 	HV pDiode                                   	X    	lvsdiode                   	D       	-	-	+	-       	+        	-       	+       	-	D       	-       	-       	+       	+       	-            	+	D	+	-	-	-	+	+       	+	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	-        	+        	          	-        	-            	                             	pdiode_h
DIODE                 	RF ESD HV pDiode [#f13]_                    	X    	lvsdiode                   	D       	-	-	+	-       	+        	-       	+       	-	D       	-       	-       	+       	+       	-            	+	D	+	-	-	-	+	+       	+	-       	D	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	-        	-        	D        	          	-        	-            	                             	xesd_pdiode_h_X (where X=100 200 300)
DIODE                 	Photo Diode                                 	X    	lvsdiode                   	-       	-	-	+	D       	D        	-       	-       	-	D       	-       	-       	-       	-       	-            	-	-	-	-	-	-	-	-       	-	D       	-	+       	+	-	-	+	+         	+	-	+	+	+        	+        	+        	+        	+          	-           	-        	-        	-	-	+        	D        	+        	D        	-        	-        	          	-        	-            	                             	dnwdiode_psub
DIODE                 	Low Vt pdiode [#f8]_                        	X    	diode                      	D       	+	+	+	+       	+        	-       	+       	-	D       	-       	D       	+       	+       	+            	+	+	+	+	+	+	+	+       	+	+       	D	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	pdiode_lvt
DIODE                 	High Vt pDiode [#f8]_                       	X    	diode                      	D       	+	+	+	+       	+        	-       	+       	-	D       	D       	C       	+       	+       	+            	+	-	+	+	+	+	+	+       	+	+       	D	+       	+	+	+	+	+         	+	+	+	+	+        	+        	+        	+        	+          	+           	+        	+        	+	+	+        	+        	+        	-        	+        	+        	          	-        	-            	                             	pdiode_hvt
